,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
0,-0.34512216604221446,0.6166449860899743,-0.5596772435150521,0.224,0.06,0.358,0.359
1,-0.21403217313329803,0.6404499843018636,-0.33419030116240606,0.051,0.132,0.312,0.505
2,-0.31806911814264816,0.5647485250406079,-0.5632048673695563,0.228,0.199,0.302,0.271
3,-0.3172941497782748,0.5439042573675473,-0.5833639753326308,0.262,0.277,0.12,0.342
4,-0.291906984250783,0.6601866768535061,-0.442158247788385,0.139,0.128,0.72,0.012
5,-0.4559340218190261,0.5951878422717637,-0.7660338290492935,0.39,0.05,0.334,0.226
6,-0.2624310117231894,0.5755955912706469,-0.4559295027674969,0.16,0.232,0.209,0.4
7,-0.28403797533564895,0.5826423387246888,-0.48749971716329915,0.194,0.219,0.138,0.449
8,-0.4276650500693274,0.5834514803490282,-0.7329916273646143,0.372,0.096,0.178,0.353
9,-0.18075443101239502,0.5116579619066683,-0.3532719990104766,0.094,0.444,0.278,0.185
10,-0.41470393489339497,0.5073213283731599,-0.8174383998859983,0.431,0.362,0.161,0.046
11,-0.4792360508918899,0.655254993484113,-0.7313733670974447,0.394,0.007,0.596,0.004
12,-0.2608405666624224,0.6707306450924005,-0.38889018799266095,0.07,0.02,0.578,0.333
13,-0.46060494043863537,0.5521794129311977,-0.8341581189953335,0.44,0.174,0.241,0.144
14,-0.36006400931221644,0.5847790891283329,-0.6157265470092732,0.267,0.123,0.332,0.278
15,-0.29454874370522405,0.5660511038937623,-0.5203571580005355,0.202,0.217,0.242,0.339
16,-0.5892565326037964,0.5877721926470575,-1.0025253660777216,0.601,0.035,0.126,0.238
17,-0.34254338197750533,0.6232540916269395,-0.5496047062977666,0.218,0.046,0.338,0.397
18,-0.27388707244647326,0.6407281496831835,-0.42746221245609445,0.119,0.066,0.358,0.456
19,-0.40553790264706085,0.5025642640884398,-0.8069374040803178,0.431,0.373,0.009,0.187
20,-0.31940342865017585,0.5330990517624101,-0.5991446197366836,0.262,0.284,0.199,0.255
21,-0.4999208524027532,0.602064006203661,-0.8303450251992714,0.464,0.028,0.127,0.382
22,-0.5514183666158898,0.5279001034010922,-1.0445505940674704,0.633,0.312,0.013,0.041
23,-0.19658355627394938,0.5955157379039699,-0.3301063998171775,0.089,0.299,0.089,0.523
24,-0.4793684935974813,0.5979234550849819,-0.8017221761761285,0.421,0.035,0.333,0.211
25,-0.2696480343363738,0.500413530404059,-0.5388504066199937,0.238,0.429,0.075,0.258
26,-0.34472508842747246,0.541257327294448,-0.6368968530193023,0.285,0.244,0.253,0.217
27,-0.41387056475478257,0.5620204176304241,-0.7363977388930689,0.375,0.168,0.13,0.328
28,-0.45753497080965705,0.6131814458659735,-0.7461657130924719,0.396,0.02,0.157,0.427
29,-0.2909837632493685,0.5416832947109042,-0.5371843032461731,0.214,0.277,0.244,0.265
30,-0.4859043845641265,0.5875675205369165,-0.8269762496744362,0.446,0.096,0.371,0.087
31,-0.6256846438123497,0.5828614216310771,-1.07347067517599,0.666,0.063,0.094,0.178
32,-0.27524760578012425,0.5905831682754464,-0.46606070163474334,0.153,0.171,0.331,0.346
33,-0.2532686890348215,0.5783536627825505,-0.437913175506326,0.142,0.225,0.244,0.389
34,-0.3906767211694697,0.5640627264383967,-0.6926121916196796,0.333,0.161,0.206,0.3
35,-0.23229292510412133,0.5324609878314652,-0.4362628068774999,0.155,0.358,0.161,0.326
36,-0.37166805480317994,0.6340122914862113,-0.5862158506926408,0.247,0.05,0.564,0.139
37,-0.31779073654081835,0.49505387277208585,-0.6419316240499823,0.3,0.407,0.134,0.159
38,-0.539281235926221,0.5331683971787705,-1.0114651182999521,0.598,0.272,0.077,0.054
39,-0.4283231641057721,0.5620808527022999,-0.7620312309991262,0.386,0.149,0.205,0.261
40,-0.3362230333551771,0.5230825932871522,-0.642772360751457,0.298,0.348,0.314,0.04
41,-0.39320484681117834,0.576094793912546,-0.6825349768233954,0.354,0.18,0.039,0.427
42,-0.4109418120625403,0.536826852244899,-0.7655015958014517,0.39,0.272,0.291,0.047
43,-0.39447740098996675,0.5664598029249687,-0.6963908099975417,0.333,0.182,0.376,0.109
44,-0.28235417868686086,0.5362884471357953,-0.5264968510786604,0.204,0.305,0.314,0.178
45,-0.2809075190207046,0.5910195999026154,-0.4752930682281786,0.166,0.171,0.271,0.392
46,-0.3886058537572837,0.572724007550038,-0.6785220256780169,0.316,0.15,0.359,0.175
47,-0.3547862462908251,0.5270435611196705,-0.6731630409014091,0.313,0.288,0.253,0.145
48,-0.19391477760971823,0.4942835784574137,-0.3923148291005291,0.145,0.502,0.082,0.27
49,-0.2154260051447041,0.6565783034745565,-0.32810405705562923,0.03,0.082,0.434,0.454
