,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
62,-0.24572025598943414,0.5358122474426446,-0.4585939518221576,0.176,0.349,0.12,0.354
63,-0.38580834229209837,0.5564520149081688,-0.6933362301792875,0.352,0.218,0.065,0.366
64,-0.12687327023513406,0.5162627636770482,-0.2457532852679271,0.023,0.502,0.384,0.091
65,-0.40032300314043695,0.5776500477843662,-0.6930199429151185,0.335,0.17,0.421,0.075
66,-0.3569269699472449,0.5969692103312536,-0.5978984573579412,0.272,0.119,0.177,0.432
67,-0.29503247290233175,0.5120119399557832,-0.5762218610132616,0.246,0.367,0.253,0.134
68,-0.12074276057349628,0.5214915130854011,-0.23153351021787974,0.015,0.516,0.425,0.044
69,-0.3796194764710202,0.5548707463529203,-0.6841583899785677,0.32,0.196,0.302,0.182
70,-0.30173084748623763,0.5698179739655246,-0.5295214634708822,0.204,0.198,0.291,0.307
71,-0.3590990580990021,0.5799447270991861,-0.6191953152073172,0.269,0.15,0.397,0.184
72,-0.1761359804745192,0.525381366650762,-0.33525357322312976,0.103,0.45,0.083,0.364
73,-0.4420250000921289,0.5607185527633302,-0.7883188418035103,0.404,0.157,0.278,0.162
74,-0.4808269716622035,0.6214104271143417,-0.7737671443574435,0.436,0.015,0.07,0.478
75,-0.3766722170313507,0.47380050299822296,-0.7950017246663063,0.436,0.539,0.018,0.006
76,-0.1610752696573655,0.4430806596243055,-0.3635348692356456,0.161,0.722,0.067,0.05
77,-0.36221669578820753,0.5017711527277536,-0.7218762852728916,0.356,0.372,0.144,0.129
78,-0.2815128873345009,0.6432834682928822,-0.43761871897869165,0.121,0.098,0.629,0.151
79,-0.24914234107421201,0.5209205100521959,-0.47827324182195885,0.177,0.362,0.23,0.231
80,-0.281414711328087,0.5371298185755655,-0.5239230845056807,0.204,0.295,0.259,0.242
81,-0.3094832578483166,0.6004962560599882,-0.515379163025789,0.2,0.209,0.562,0.029
82,-0.44490184391748,0.5613801169339949,-0.7925144309480238,0.414,0.148,0.159,0.28
83,-0.2188601166495962,0.6084154508937061,-0.3597214967636192,0.062,0.199,0.541,0.198
84,-0.2646241995001743,0.5249575340481065,-0.5040868686264525,0.191,0.348,0.305,0.156
85,-0.2287880491425641,0.5329566941800103,-0.4292807495261315,0.136,0.356,0.353,0.155
86,-0.17512712157671484,0.5778764306967444,-0.30305288860036117,0.048,0.302,0.229,0.421
87,-0.2008888409900628,0.5771585982617955,-0.3480652312814387,0.062,0.267,0.438,0.233
88,-0.31266822781189485,0.5453570272801462,-0.573327585730878,0.251,0.268,0.147,0.334
89,-0.3592838317781205,0.4945139069905214,-0.7265393888811444,0.362,0.399,0.112,0.127
90,-0.366842260874346,0.5626639094453989,-0.651974037638084,0.296,0.175,0.282,0.247
