,Retorno,Risco,Sharpe,SAPR4.SA Peso,ITSA4.SA Peso,LIGT3.SA Peso,MXRF11.SA Peso
0,0.11225275385358188,0.11965036462882224,0.9381731029555227,0.181,0.341,0.005,0.473
1,-0.3389832328505592,0.29495939656737996,-1.149253886451868,0.233,0.317,0.332,0.118
2,-0.1847801991528158,0.22736334956569307,-0.8127088183112224,0.241,0.344,0.212,0.203
3,0.0023566896645221573,0.1625168830297985,0.014501199017520188,0.227,0.422,0.061,0.29
4,-0.12517284824785144,0.2276305272784875,-0.5498948218606575,0.421,0.464,0.113,0.002
5,-0.19988346149605868,0.2342002895728206,-0.8534723072317479,0.347,0.229,0.229,0.195
6,-0.17636648041831188,0.22291741930611697,-0.7911740633248587,0.31,0.258,0.212,0.22
7,-0.10863488118950737,0.18942061692382564,-0.5735113893816227,0.283,0.165,0.186,0.365
8,-0.5023978736189143,0.37053144025463863,-1.355884599896985,0.219,0.149,0.489,0.143
9,-0.02971554343184098,0.15525408887584774,-0.19139942559325218,0.243,0.179,0.132,0.445
10,-0.2546260775028576,0.2609199953984668,-0.9758779778989443,0.122,0.442,0.263,0.173
11,-0.40878945635247593,0.3273030126156965,-1.2489633171585162,0.073,0.101,0.455,0.371
12,-0.1379614200350394,0.2210158537080441,-0.6242150403259427,0.443,0.308,0.151,0.098
13,-0.32708557161326646,0.28968259920523765,-1.1291170837000435,0.27,0.293,0.322,0.115
14,-0.10964773507853401,0.2237387047061975,-0.49007048298826056,0.585,0.232,0.122,0.061
15,-0.23168267693992597,0.24110898118775048,-0.9609043835638612,0.137,0.175,0.299,0.389
16,-0.04791670859250651,0.15974281136512122,-0.2999615956613169,0.16,0.037,0.189,0.614
17,0.011481093673069081,0.16833343822532,0.06820447437009662,0.372,0.368,0.041,0.219
18,-0.48354502565052215,0.3670784729130395,-1.317279713553438,0.053,0.454,0.44,0.053
19,-0.12022003678322259,0.22248802665324569,-0.5403438494719051,0.059,0.621,0.138,0.182
20,-0.21448082019264633,0.25434517999944073,-0.8432666984022184,0.235,0.532,0.196,0.038
21,-0.21958038781047567,0.24006354742211344,-0.9146760937610349,0.013,0.05,0.337,0.6
22,-0.12769637314797394,0.20297742823280152,-0.6291161251758237,0.362,0.165,0.187,0.287
23,-0.19326393830041497,0.2511633479072716,-0.7694750842856546,0.597,0.107,0.207,0.088
24,-0.004502162217195085,0.1615082624156175,-0.027875739295674176,0.281,0.354,0.071,0.294
25,-0.29209863429624217,0.2706100383700996,-1.079407977825101,0.24,0.185,0.324,0.252
26,0.13009883258625585,0.11967398903787427,1.0871103539891391,0.37,0.119,0.006,0.505
27,-0.7958547852133202,0.5188618792115554,-1.5338470932238726,0.045,0.06,0.752,0.143
28,-0.1510896263718503,0.22382906583504802,-0.6750223694504296,0.378,0.364,0.16,0.098
29,-0.4800944887162189,0.3609035867586706,-1.3302569060840312,0.32,0.175,0.45,0.054
30,-0.07932722238640957,0.1822282932537396,-0.4353178146488603,0.124,0.38,0.147,0.349
31,-0.23173584312914458,0.24388331958786968,-0.9501914420418226,0.097,0.313,0.277,0.312
32,-0.3256234070843193,0.28724493269873796,-1.1336088822351225,0.24,0.047,0.377,0.336
33,0.0777866252675275,0.14077990227533235,0.5525406965789419,0.093,0.471,0.018,0.417
34,-0.1087388630758608,0.19637846320676633,-0.553720918782066,0.003,0.409,0.183,0.405
35,-0.5498236635933326,0.3957263041111021,-1.3894038831418365,0.303,0.036,0.533,0.128
36,-0.25948027043537825,0.259516753791263,-0.9998594181094216,0.261,0.313,0.27,0.157
37,-0.34777178239408335,0.2991199085615327,-1.1626500692197903,0.088,0.037,0.421,0.454
38,-0.27721065051887583,0.2631853097066698,-1.0532907434227154,0.12,0.235,0.323,0.323
39,-0.25267652452123546,0.25366593297498446,-0.996099561174237,0.299,0.122,0.298,0.281
40,-0.4604786605582514,0.3503526109629601,-1.3143291819421719,0.163,0.249,0.447,0.141
41,-0.37525040272260124,0.3117016696275535,-1.2038767811894653,0.104,0.343,0.375,0.178
42,-0.17946742559671386,0.22091385215436074,-0.8123864748477306,0.194,0.296,0.226,0.284
43,-0.10599260438812837,0.18880120948053697,-0.5613979098955659,0.067,0.323,0.188,0.422
44,-0.030005947140462435,0.17921627218191988,-0.16742869815975095,0.463,0.209,0.089,0.239
45,-0.29945154098351956,0.27820409807036506,-1.0763735799024083,0.37,0.08,0.329,0.221
46,-0.14374288598380042,0.21158891727520396,-0.6793497874789003,0.22,0.38,0.178,0.222
47,-0.246947850483383,0.2523576689156331,-0.9785628926773028,0.274,0.262,0.269,0.195
48,-0.38470155978279347,0.3143740711578151,-1.2237063901802323,0.215,0.093,0.415,0.277
49,-0.19572174152286853,0.23223508739946308,-0.8427742065789195,0.338,0.237,0.226,0.2
50,-0.055042246373591786,0.17699819828818705,-0.3109763088320958,0.332,0.275,0.116,0.278
51,0.021009453794112128,0.15062613586108287,0.1394807990924523,0.391,0.15,0.076,0.383
52,-0.29584639662582723,0.27949968305235123,-1.0584856247239973,0.037,0.44,0.308,0.215
53,-0.2188347284081116,0.23865532794097563,-0.9169488496072207,0.232,0.274,0.253,0.241
54,0.06691708881840767,0.16010668938936679,0.41795311035175187,0.531,0.134,0.022,0.313
55,-0.3780731820215964,0.3105896171230741,-1.2172756627333787,0.144,0.141,0.412,0.302
56,-0.2874492238186786,0.2678002749752559,-1.0733716529799615,0.148,0.233,0.326,0.293
57,-0.2021310242102279,0.22764858740356897,-0.8879080978082053,0.183,0.115,0.282,0.42
58,-0.3676992316733771,0.3062108642794199,-1.2008040032761496,0.131,0.111,0.413,0.345
59,-0.028253784130717725,0.1997456781096724,-0.14144878826967508,0.29,0.585,0.039,0.086
60,-0.015544144828431859,0.1662415767795238,-0.09350335294910685,0.381,0.244,0.085,0.29
61,-0.2924802797180226,0.28537326746654174,-1.0249042677142635,0.526,0.015,0.311,0.148
62,-0.13553857380498313,0.21115821465113077,-0.6418816053588816,0.176,0.436,0.168,0.221
63,0.009491320452099734,0.18333020651511053,0.051771721815616,0.53,0.28,0.034,0.156
64,-0.22646081966302964,0.247084396808051,-0.9165322561382016,0.342,0.274,0.24,0.144
65,-0.09370371091372806,0.18636914036449206,-0.5027855509257956,0.115,0.361,0.163,0.361
66,-0.238478519551474,0.2468409327169401,-0.9661222590863585,0.006,0.219,0.317,0.458
67,-0.3674000207136641,0.30654979945370964,-1.1985002807648,0.167,0.288,0.37,0.175
68,-0.044090201716446856,0.16886493487721807,-0.26109743712337263,0.362,0.128,0.133,0.376
69,-0.31684633752083374,0.28218434907849077,-1.1228345532115305,0.111,0.261,0.348,0.28
70,-0.2048863983188216,0.24932696204687552,-0.8217578902690086,0.413,0.381,0.19,0.016
71,-0.3096294182422498,0.27809042095702036,-1.1134127424335263,0.212,0.186,0.341,0.26
72,-0.26405101176756346,0.2573227451094615,-1.0261471898072587,0.244,0.154,0.309,0.293
73,-0.26909113188594813,0.26411862969995203,-1.0188267756486735,0.364,0.074,0.309,0.253
74,0.09104955792365658,0.13407017979880964,0.6791186381661359,0.395,0.174,0.019,0.412
75,0.049867853160618196,0.1408695422773292,0.35400024983714073,0.4,0.059,0.072,0.468
76,-0.42696550983391507,0.3384497281838034,-1.2615330262639213,0.034,0.39,0.415,0.161
