,Retorno,Risco,Sharpe,SAPR4.SA Peso,ITSA4.SA Peso,LIGT3.SA Peso,MXRF11.SA Peso
0,-0.14694473545908507,0.21991137116972648,-0.6681998055738276,0.358,0.356,0.162,0.124
1,-0.23209676946866414,0.24149477520847673,-0.9610840204236323,0.152,0.198,0.292,0.358
2,-0.15572978581912025,0.21152794383951123,-0.7362137738987067,0.198,0.311,0.205,0.287
3,-0.37253349333919483,0.3115866783452234,-1.1956014785922433,0.181,0.368,0.355,0.097
4,-0.14235722257588745,0.20384190441241662,-0.6983707446525212,0.144,0.302,0.206,0.348
5,0.09343163563386586,0.12782962322970132,0.7309075414074829,0.375,0.124,0.031,0.47
6,-0.312914780268597,0.2820725620778012,-1.1093414331532498,0.028,0.117,0.389,0.466
7,-0.2767449270435023,0.27261493366601025,-1.0151495493000096,0.177,0.46,0.266,0.096
8,0.06079842158448375,0.14279329678483776,0.4257792414170209,0.419,0.136,0.045,0.4
9,-0.21794879032465214,0.23835599009618832,-0.9143835245621439,0.311,0.11,0.273,0.306
10,-0.40724328988485425,0.32520585615045167,-1.2522630886955775,0.264,0.181,0.405,0.15
11,-0.05564646866873521,0.17322889429205843,-0.3212308714210057,0.35,0.169,0.135,0.345
12,-0.019755116516515504,0.1800148113924944,-0.10974161716861472,0.5,0.186,0.08,0.234
13,-0.2372277847614759,0.24737513465966812,-0.9589799115737616,0.273,0.239,0.267,0.222
14,-0.11166977253489721,0.19258286034987324,-0.5798531205322328,0.259,0.258,0.173,0.309
15,-0.33695022424211213,0.3005449016960156,-1.121131060086717,0.467,0.066,0.343,0.124
16,-0.15174396508857751,0.20826051876545462,-0.728625694337549,0.149,0.307,0.211,0.333
17,-0.09919783546395372,0.22411347714061494,-0.44262324930023855,0.604,0.251,0.107,0.037
18,-0.3259867026271949,0.2917620005504754,-1.1173034939853266,0.087,0.419,0.326,0.168
19,-0.41393939413863096,0.3299174003147571,-1.2546758483902725,0.295,0.054,0.431,0.22
20,0.035060958233941036,0.17151331274257023,0.20442120598862865,0.235,0.541,0.011,0.213
21,-0.05864841686678999,0.20031799950371532,-0.2927765703136539,0.253,0.549,0.075,0.123
22,0.011431854512419983,0.14376688594505596,0.07951660382202996,0.181,0.302,0.087,0.43
23,-0.08059755256013729,0.18352321722276488,-0.43916815419765687,0.28,0.295,0.139,0.285
24,-0.029616635806336465,0.17292623589500955,-0.17126745200374285,0.339,0.328,0.085,0.248
25,-0.23604119141845706,0.24844689218341665,-0.95006699155729,0.349,0.143,0.273,0.235
26,-0.32211010504208215,0.2852473041263201,-1.1292310229843139,0.044,0.204,0.375,0.377
27,-0.21601891786996194,0.24149742817664374,-0.8944977985933437,0.364,0.003,0.285,0.349
28,-0.369183058125519,0.30669293767416617,-1.2037546769914311,0.236,0.185,0.381,0.198
29,-0.08273521902103839,0.18526013051679668,-0.4465894458254048,0.213,0.362,0.138,0.286
30,-0.42316320696443965,0.3365909742042156,-1.2572030725568393,0.398,0.157,0.399,0.046
31,-0.4504425934965999,0.348510498508804,-1.292479266547033,0.367,0.188,0.418,0.028
32,0.07698815736687663,0.1417543818835063,0.5431095416164663,0.143,0.459,0.013,0.386
33,-0.1143449105114475,0.19680030906455118,-0.5810199742823675,0.355,0.002,0.212,0.431
34,-0.389191195885822,0.31766553877829357,-1.2251602656763092,0.28,0.244,0.376,0.1
35,0.02434930596879251,0.16182630914698537,0.1504656819842332,0.228,0.464,0.036,0.272
36,-0.10945273889880636,0.24159247590634625,-0.4530469688188299,0.745,0.043,0.134,0.078
37,-0.4239801823708556,0.3327250376254129,-1.2742659386161952,0.199,0.134,0.438,0.229
38,-0.40344230888110627,0.33129380967581884,-1.2177779876898,0.465,0.023,0.401,0.111
39,-0.13719919092739793,0.23429739392386137,-0.5855771104820012,0.618,0.153,0.153,0.076
40,-0.4539147441704195,0.3480350685546082,-1.3042212845260974,0.224,0.287,0.424,0.065
41,0.01718312560179474,0.15343831146829381,0.11198719170828093,0.01,0.45,0.081,0.459
42,-0.15854816799172608,0.20935822047236835,-0.7573056727077583,0.212,0.217,0.224,0.347
43,-0.020085926519638093,0.17155739920657131,-0.11707991968013423,0.342,0.344,0.074,0.239
44,0.12394992735763911,0.0963488752857889,1.2864698938101797,0.132,0.137,0.047,0.684
45,0.015726903974142514,0.15400244647572586,0.10212113076152603,0.197,0.404,0.06,0.339
46,-0.05400948039142146,0.19520195574401428,-0.2766851396829697,0.425,0.374,0.079,0.123
47,-0.16921820411203156,0.21869944044490805,-0.7737477689370624,0.315,0.219,0.214,0.252
48,-0.09358594287493598,0.19510272883796853,-0.47967521229627935,0.261,0.392,0.132,0.216
49,-0.2766626159562935,0.2676796236927486,-1.0335587451133592,0.3,0.288,0.281,0.131
50,-0.33068609657728915,0.2909718151610573,-1.1364884134714195,0.33,0.17,0.34,0.16
51,-0.3630949371581008,0.3069346150356004,-1.1829716147068867,0.003,0.31,0.39,0.297
52,-0.3451675796709929,0.2984700824698872,-1.156456207652963,0.354,0.11,0.359,0.177
53,-0.27705035372943465,0.29006516834646195,-0.9551314117057929,0.073,0.677,0.239,0.011
54,-0.24815079988249034,0.2578098986743669,-0.9625340266547457,0.244,0.392,0.248,0.116
55,-0.001936469839235966,0.14182704379217007,-0.013653741821437259,0.07,0.242,0.128,0.56
56,-0.6035734613525707,0.42163961494652136,-1.431491349381687,0.351,0.076,0.556,0.017
57,-0.018393631004812894,0.19974727923046823,-0.09208451336946792,0.654,0.046,0.082,0.218
58,-0.21059162439572277,0.25181597052788307,-0.8362917727349004,0.424,0.369,0.195,0.013
59,0.05784791717220329,0.1415063281824346,0.4088009201795121,0.399,0.154,0.047,0.401
60,-0.1485846225288108,0.23354097080885033,-0.6362250786840524,0.478,0.371,0.14,0.012
61,0.09371393854326375,0.16548398584577914,0.5663021594766237,0.594,0.094,0.0,0.312
62,-0.1713340432299907,0.22006824830360083,-0.7785495842799749,0.102,0.376,0.219,0.303
63,-0.1872182259639075,0.2249746532513061,-0.8321747506141365,0.279,0.23,0.231,0.26
64,-0.5381431694890408,0.38810573115225155,-1.3865890820301505,0.266,0.241,0.488,0.004
