,Retorno,Risco,Sharpe,SAPR4.SA Peso,ITSA4.SA Peso,LIGT3.SA Peso,MXRF11.SA Peso
0,-0.1616768924091781,0.2119516139007934,-0.7628009498661,0.243,0.226,0.219,0.311
1,-0.05860674657510508,0.18766857586318106,-0.3122885454080073,0.337,0.383,0.095,0.184
2,0.1086409767428615,0.11779468517520775,0.92229098945567,0.338,0.085,0.034,0.542
3,-0.33385551597054136,0.29541257557169365,-1.1301330531527016,0.39,0.195,0.327,0.088
4,-0.18991514357359132,0.2222196396507321,-0.8546280782026533,0.111,0.091,0.29,0.507
5,-0.3188026501087451,0.2922258262982568,-1.0909461841451447,0.026,0.481,0.318,0.174
6,-0.19469700895732797,0.227284494780483,-0.856622486040551,0.176,0.297,0.24,0.287
7,-0.28925147441554544,0.27866987442160784,-1.0379718116854224,0.316,0.387,0.267,0.03
8,-0.384731858632999,0.3167533966078626,-1.21461004918376,0.09,0.359,0.381,0.17
9,-0.3935802945432233,0.32142795603365076,-1.2244743717998778,0.048,0.357,0.395,0.2
10,-0.3155429442692057,0.2810523117325156,-1.1227196187217834,0.212,0.121,0.359,0.308
11,-0.27184445990150485,0.2634589590888124,-1.0318284898782497,0.308,0.193,0.296,0.204
12,0.025019895022361894,0.13353233458809227,0.18736956183340062,0.095,0.271,0.098,0.536
13,-0.4247417125247413,0.33943070774749,-1.2513355534134998,0.142,0.459,0.381,0.019
14,-0.5558871289991009,0.3973071618285934,-1.3991369459353522,0.088,0.252,0.529,0.131
15,-0.22537583808409653,0.24012715412442487,-0.9385687299959222,0.262,0.153,0.278,0.308
16,0.005548179462750925,0.1794364608381606,0.030920022813841624,0.424,0.39,0.032,0.154
17,-0.3220523198137177,0.2848230100889505,-1.1307103302964898,0.245,0.093,0.364,0.298
18,-0.14118668277111573,0.21708800796439923,-0.650366107713648,0.352,0.355,0.159,0.134
19,-0.1344654705078984,0.19752599555770545,-0.6807482231806573,0.189,0.194,0.215,0.402
20,-0.15223254545913334,0.23247505554574685,-0.6548338921858081,0.426,0.41,0.143,0.02
21,-0.3129369148972478,0.28394210320435026,-1.1021152247788706,0.147,0.377,0.315,0.161
22,-0.10301204407687313,0.20506523556177256,-0.5023379208800237,0.492,0.13,0.154,0.224
23,-0.1311595619822323,0.19764550271701622,-0.6636101514033599,0.254,0.167,0.207,0.371
24,-0.13654665199220528,0.2155551417514992,-0.6334650655173044,0.267,0.432,0.154,0.147
25,-0.136645031418738,0.20155648564824075,-0.6779490671275785,0.168,0.296,0.199,0.337
26,-0.2511010669950504,0.25465412836357304,-0.9860475014037476,0.336,0.092,0.297,0.276
27,-0.26377673812283753,0.26032842554624097,-1.0132460086498853,0.241,0.305,0.278,0.176
28,-0.1012870539801925,0.2048443874612713,-0.49445852647216043,0.469,0.215,0.139,0.177
29,-0.2280297235761912,0.24189325238920592,-0.9426874099377178,0.007,0.215,0.31,0.468
30,-0.053929847763665266,0.17668300096237055,-0.3052350677196789,0.271,0.344,0.111,0.274
31,-0.1684614173346724,0.2194214144623839,-0.7677528546948287,0.022,0.378,0.23,0.37
32,-0.11996299630351848,0.19488322643344969,-0.6155634761336652,0.262,0.227,0.185,0.325
33,-0.04648195820512196,0.16584786994823475,-0.2802686475239636,0.17,0.318,0.128,0.384
34,-0.27466508088937563,0.2628231089016512,-1.045056814209422,0.236,0.063,0.337,0.364
35,-0.36644737487293577,0.30882069114456995,-1.1866024051522788,0.074,0.371,0.368,0.188
36,-0.2352582406427131,0.24521026560730774,-0.959414321664117,0.06,0.289,0.291,0.36
37,-0.28831053465706935,0.27457734164530034,-1.0500157548670188,0.33,0.299,0.282,0.088
38,-0.2545859547935784,0.2531521683967601,-1.0056637334212803,0.046,0.171,0.332,0.451
39,-0.17059797195152043,0.2154049431509122,-0.7919872657332655,0.015,0.233,0.263,0.49
40,0.013104550432338873,0.14742210416421012,0.08889135388911566,0.333,0.177,0.086,0.404
41,-0.29251361165758594,0.2714704978820584,-1.077515287811016,0.282,0.107,0.333,0.277
42,-0.344183096445833,0.3035270296917273,-1.1339454571653715,0.454,0.025,0.359,0.162
43,-0.1028957392437363,0.2061127742792419,-0.49922058253571894,0.436,0.291,0.13,0.143
44,-0.1770541318168854,0.22487491209645952,-0.7873449739957585,0.304,0.303,0.204,0.188
45,-0.02070214557022909,0.1886499930040451,-0.10973838504083691,0.081,0.612,0.063,0.243
46,0.06606494213003153,0.14200861972255702,0.4652178315591191,0.085,0.462,0.03,0.423
47,-0.46528280210888473,0.35475926207279795,-1.3115451852907702,0.041,0.294,0.462,0.204
48,-0.28787120597559385,0.27204054542742,-1.0581922835189927,0.347,0.16,0.308,0.186
49,-0.16725513484316865,0.21548303024741813,-0.77618703733248,0.181,0.302,0.218,0.299
50,-0.03376704581761731,0.16864483182075252,-0.20022579674132723,0.367,0.205,0.109,0.32
51,-0.3326798421965038,0.2901003171528694,-1.1467751757789255,0.197,0.271,0.343,0.189
52,-0.21899088583296414,0.2367669374755034,-0.9249217317583524,0.19,0.25,0.265,0.294
53,-0.46358909534825454,0.3541968247886691,-1.3088459943842077,0.206,0.36,0.419,0.015
54,-0.24322870655759463,0.24903883323449938,-0.9766697964271547,0.158,0.3,0.278,0.264
55,-0.45433853496424087,0.3517891709264164,-1.2915080181910281,0.078,0.012,0.506,0.404
56,-0.6249177748247003,0.431134105908947,-1.4494742268353025,0.113,0.142,0.598,0.146
57,-0.526506210364412,0.38201726683147125,-1.3782262114258903,0.21,0.203,0.497,0.09
